65 inches	65 吋
Similar	相同的
1According to "Whose Whom," what kind of hair does Larry prefer his women to have?	1根據《Whose Whom》雜誌，Larry 喜歡他的女人有什麼樣的頭髮？
Clean	乾淨的
Real	真的
Blonde	金髮
Thick, luxuriant and kissably soft	濃密蓬鬆又吻得香噴噴
3According to "Whose Whom," how tall is Larry Laffer?	3根據《Whose Whom》，Larry Laffer 多高？
Tall enough to reach the ground	夠高到能踩著地面走路
Four feet, nine inches	四呎九吋
Five feet, five inches	五呎五吋
69 inches, what else?	69 吋，還有啦？
1According to "Whose Whom," what does Larry Laffer do for a living?	1根據《Whose Whom》，Larry Laffer 吃什麼飯？
Traveling software salesman	軟體業務員
Semi-professional gambler	半職業賭徒
Ramblin' kinda guy	浪子型傢伙
Model for automobile windshield shades	汽車遮陽簾模特兒
2According to "Whose Whom," how old is Larry Laffer?	2根據《Whose Whom》，Larry Laffer 幾歲？
35, going on 16	35 歲，頭腦只有 16 歲
4According to "Whose Whom," how well-endowed does Larry prefer his women?	4根據《Whose Whom》，Larry 喜歡女人……身材怎樣？
Any size	隨便啦
Petite blossoms	小小花蕾
Medium handfuls	掌心剛好
1What color is the dotted line at the bottom of the "Whose Whom" letter?	1《Whose Whom》信件下方的虛線是什麼顏色？
Navy blue	深藍色
Seafoam green	海泡綠
Raspberry red	紅莓色
Orange orange	橙色橙色
2What taste treat is pictured to the left of the frankfurters in the "Palamino Ranch" brochure?	2《Palamino Ranch》旅遊指南香腸左邊的美食是什麼？
Beans	豆子
Tacos	玉米卷
Breakfast fajitas	早餐薄餅
Fried eggs and cornbread	炸蛋和玉米麵包
1What taste treat is illustrated to the right of the frankfurters in the "Palamino Ranch" brochure?	1《Palamino Ranch》旅遊指南香腸右邊的美食是什麼？
3Getting to the Palamino Ranch is easier than	3去 Palamino Ranch 比……容易多了
fallin' off a log.	掉下原木
findin' a needle in a haystack.	在乾草堆裡找針
pickin' off a saddlesore.	挑掉馬鞍瘡
goin' outhouse-tippin' at midnight.	半夜去翻廁所
2Who is the Vice President of "Whose Whom's" Direct Male Department?	2誰是《Whose Whom》直郵男性部門副總裁？
Phil DeKonndom	Phil DeKonndom
Adolph Muhweeny	Adolph Muhweeny
Kent Gettitup	Kent Gettitup
Les Befrenz	Les Befrenz
1According to the "Palamino Ranch" brochure, Old Faceful erupts every	1根據《Palamino Ranch》旅遊指南，老忠實泉多久噴發一次？
35 minutes.	35 分鐘
25 minutes.	25 分鐘
20 minutes.	20 分鐘
time you smile at it.	次……只要你對著它微笑
2In the "Palamino Ranch" brochure, the gal sittin' 'round the campfire is playing a	2《Palamino Ranch》旅遊指南中，坐在篝火邊的妞在吹什麼？
harmonica.	口琴
guitar.	吉他
jaw harp.	鼻琴
flute-a-phone.	笛子電話
3What kind of contest is held on Tuesdays at the Palamino Ranch?	3Palamino Ranch 每週二舉辦什麼大賽？
Cowpie throwin'	牛糞餅丟擲
Hog callin'	豬叫大賽
Canyon Yodelin'	峽谷約德爾唱法
Pie eatin'	吃派大賽
1According to "Whose Whom in America," what kind of credit risk is Larry?	1根據《美國人 Whose Whom》，Larry 的信用風險如何？
Adequate	尚可
Poor	很差
Nonexistent	根本沒有
Bogus	虛無飄渺
4The Vice President of "Whose Whom's" Direct Male department signs his name with a	4《Whose Whom》直郵男性部門副總裁用什麼簽名？
black fountain pen.	黑色鋼筆
blue felt-tip pen.	藍色麥克筆
leaky gold magic marker.	會漏水的黃金奇異筆
red fine-tip pen.	紅色細尖筆
1The Palamino Ranch is available for	1Palamino Ranch 可以租用於……
bar-mitzvahs.	猶太成年禮
confirmations.	堅信禮
anniversaries.	週年紀念
St. Trixie's Day of Self-Flagellation.	聖 Trixie 自我懲罰日
2The man on the cover of the Palamino Ranch brochure is about to	2《Palamino Ranch》旅遊指南封面男人要……
hang.	上絞刑架
draw.	拔槍射擊
lasso.	套索
ride.	騎馬
4The map directing you to the Palamino Ranch looks like	4指向 Palamino Ranch 的地圖看起來像……
a map of Fresno.	Fresno 地圖
a map of Manhattan.	曼哈頓地圖
a guide to Swedish hot spots.	瑞典風俗區指南
a closeup of Baked Beans.	烤豆罐頭特寫
3What's for lunch at the Palamino Ranch?	3Palamino Ranch 午餐吃啥？
Grubsteaks and baked potatoes	牛排和烤馬鈴薯
Tacos and hot buns	玉米卷和熱麵包
Cornbread and chili	玉米麵包和辣椒湯
Weiners-in-a-blanket	包裹香腸
2The address on the back of the "Whose Whom" letter is	2《Whose Whom》信件背面的地址……
smeared.	被塗抹掉
invisible.	看不見
scrawled on by a child.	被小孩亂塗鴉
also Al Lowe's home address.	也是 Al Lowe 家的住址
1What color is the line under the letterhead of the "Whose Whom" letter?	1《Whose Whom》信紙下面的線是什麼顏色？
Red	紅色
Blue	藍色
Green	綠色
Black	黑色
4According to "Whose Whom," Larry prefers his ladies' derrieres	4根據《Whose Whom》，Larry 喜歡女人的屁股……
firm.	緊實的
rounded.	圓潤的
petite.	小巧的
yes.	有。
2The offices of "Whose Whom" are located in	2《Whose Whom》總部位於……
Lost Wages.	Lost Wages
Salt Lick City.	Salt Lick City
Sins-in-Addie.	Sins-in-Addie
New Dork City.	New Dork City
1What color is the border on top of the "Palamino Ranch" brochure?	1《Palamino Ranch》旅遊指南上方邊框是什麼顏色？
Blue-gray	藍灰色
Aquamarine	海水藍綠
Rust	鐵銹色
Dusty beige	塵埃米色
3The man in the little picture above the word "Activities" in the "Palamino Ranch" brochure is saddling up a	3《Palamino Ranch》旅遊指南《Activities》圖片中男人在給……套馬鞍
horse.	馬
bull.	公牛
fence.	籬笆
calf.	小牛
2What's not allowed at the Palamino Ranch?	2Palamino Ranch 禁止什麼？
Cow-tippin'	翻牛遊戲
Spurs	馬刺
Bareback ridin'	不用馬鞍騎馬
Cow pokin'	戳牛遊戲
4In the small photo next to the word "spread" in the "Palamino Ranch" brochure, a cowboy seems to be hugging	4《Palamino Ranch》旅遊指南《spread》一詞旁小圖中，牛仔似乎在擁抱……
