"Leisure Suit Larry in the Land of the Lounge Lizards" contains some elements of plot which may not be considered appropriate for some children.	「Leisure Suit Larry in the Land of the Lounge Lizards」這款遊戲裡，有些劇情不太適合小朋友看。
Use the TAB key to select, then ENTER to continue.	按 TAB 鍵選擇，再按 ENTER 繼續。
Sorry, but this game can only be played by adults, or with an adult. Please find an adult, come back, and try again.	歹勢，這款遊戲限成年人遊玩，或是要有大人陪同。麻煩去找個大人，再回來試一次。
Oh no, you're not!	少來，你才不是咧！
Shouldn't you be doing your homework?	你是不是該回家寫功課了？
Yeah, sure you are!	是喔，你當然是啦～
Gee, that's funny; you look much older!	咦，真妙，你看起來老成多囉！
To verify your age, please answer these five simple questions.	為了驗證你的年齡，請回答以下五個簡單問題。
Oops. You blew that one!  But since you came so close, you get to play in spite of yourself!	唉唷，你槓龜了！不過看你差一點就答對，還是讓你玩下去啦！
Oops. You blew that one!  If you miss another, you can't possibly be old enough to play this game!	唉唷，你又槓龜了！再錯一題，你就真的太嫩，不夠格玩這款遊戲！
And now a question that won't tax your memory. This question refers to the documentation that came with your copy of this game.	接下來這題不會考你的記性，答案就在遊戲附的說明文件裡。
Oh, oh! You couldn't possibly miss that question and have a legal copy of the game!	哎哎，這題你要是還答錯，那你手上這套肯定不是正版！
Thank you.  And now, slip into your leisure suit and prepare to enter the "Land of the Lounge Lizards" with "Leisure Suit Larry!"	謝謝配合。現在，套上你的休閒西裝，準備好跟著「Leisure Suit Larry」一起踏進「Land of the Lounge Lizards」！
3Johnny Carson is	3強尼·卡森是\n\n(Johnny Carson is)
David Letterman's sidekick.	大衛·萊特曼的搭檔。
Ed McMahon's sidekick.	艾德·麥克馬洪的搭檔。
Very Confusing Record.	非常混亂的紀錄。
Visual Cartridge Recording.	視覺卡帶紀錄。
Very Complete Record.	非常完整的紀錄。
home of the Mets.	大都會隊的主場。
a country.	一個國家。
where people talk funny.	講話腔調很怪的地方。
adjacent to Texas.	緊鄰德州。
3Is this software pirated?	3這軟體是盜版的嗎？\n\n(Is this software pirated?)
No. (How could you even ask!)	不是。（你居然問得出口！）
No, just borrowed.	不是，只是借的。
0Pia Zadora is	0碧亞·札多拉是\n\n(Pia Zadora is)
all of the above.	以上皆是。
a big place.	一個很大的地方。
near Fresno.	靠近弗雷斯諾。
the Rolling Stones.	滾石合唱團。
the Monkees.	蒙奇斯合唱團。
Creedence Clearwater.	清水復興合唱團。
4All politicians are	4所有政客都是\n\n(All politicians are)
ethical.	有道德的。
on the public payroll.	領公家薪水的。
a French food.	一種法國食物。
2Paul, John, Ringo and	2保羅、約翰、林哥，還有\n\n(Paul, John, Ringo and)
2During the 70's, Carroll O'Connor portrayed a	2七零年代，卡洛爾·奧康納飾演的角色是\n\n(During the 70's, Carroll O'Connor portrayed a)
kindly doctor.	慈祥的醫生。
lovable bigot.	討人喜歡的老頑固。
handicapped lawyer.	身障律師。
Negro junk dealer.	黑人資源回收商。
3The song "American Pie" was about	3「American Pie」這首歌唱的是\n\n(The song "American Pie" was about)
miscegenation.	異族通婚。
a dead rock star.	一位猝逝的搖滾巨星。
four minutes too long.	長了整整四分鐘。
3Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.	3當外界得知 Thomas Eagleton 曾接受過_____治療後，他就被拉下了1972年民主黨全國提名名單。\n\n(Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.)
2The 70's practice of running around naked was called	2七零年代流行裸奔，這件事被稱為\n\n(The 70's practice of running around naked was called)
on account of rain.	因為下雨才辦的。
4Peter Benchley's novel "Jaws" was about	4Peter Benchley的小說《大白鯊》講的是\n\n(Peter Benchley's novel "Jaws" was about)
3Who was not Vice-President of the United States in 1973-74?	3誰不是1973到74年間的美國副總統？\n\n(Who was not Vice-President of the United States in 1973-74?)
4The "Chicago Seven" was	4「芝加哥七君子」指的是\n\n(The "Chicago Seven" was)
some people who only seem crazy in retrospect.	一群事後看來才顯得瘋狂的人。
the Bears' defensive line.	熊隊的防守陣線。
burned for showing "Country" in three different theatres.	因為在三間戲院同時上映《Country》而被燒了。
partially convicted.	部分被判有罪。
3President Ford prescribed _____ for dealing with economic problems.	3福特總統開的經濟處方是_____。\n\n(President Ford prescribed _____ for dealing with economic problems.)
that everyone wear a WIN button	叫大家都戴個 WIN 徽章。
that everyone should have a nice day	叫大家每天都要有美好的一天。
0The tackiest seventies fashion was	0七零年代最俗氣的時尚是\n\n(The tackiest seventies fashion was)
embarrassed by his first name (Olivia)	對自己的本名（Olivia）感到尷尬。
no one to fool with.	惹不起的角色。
the middle Pointer Sister.	中間那位 Pointer 姐妹。
a failed politician.	一位失敗的政治人物。
an example of split ends gone wild.	分岔髮尾失控的最佳示範。
prohibited by law in 41 states.	在41州都是違法的。
a feminine hygiene spray.	一種女性衛生噴霧。
the masculine form of "deteuse."	「deteuse」的陽性寫法。
a policy to replace war.	一種用來取代戰爭的政策。
"I am not a crook."	「我不是騙子。」
"The barren fig tree bears no plums."	「不結果子的無花果樹，也結不出李子。」
"Hi, sailor. New in town?"	「嗨，水兵哥，剛到這鎮上啊？」
