You pop $90.00 out on the bar in another unsuccessful attempt to buy friendship.	你一口氣甩 $90 塊在吧檯上，妄想用錢買友誼，當然又失敗了。
"Have you telephoned Sierra On-Line lately?"	「最近有沒有打電話給 Sierra On-Line？」
Good idea! Sliced meat loaf, anyone?	好主意！誰要來份肉糜麵包？
When you decided to become a swinging guy, this wasn't exactly what you had in mind.	當你決定當個風流倜儻的傢伙時，應該不是想這樣吧。
An eye peers back at you through the peephole in the door.	一隻眼睛從門上的窺孔瞪著你。
The peephole is tightly shut.	窺孔被死死地關上了。
"The password is: `Ken Sent Me'" you whisper through the open peephole.	「密碼是：肯介紹我來的」你從敞開的窺孔小聲說。
You carefully whisper "Ken Sent Me" to the closed door. Why, you do not know.	你小心翼翼地對著關著的門說「肯介紹我來的」。天曉得你為啥這樣做。
"Does the password have two syllables?" you ask the man on the other side of the peephole.	「密碼有兩個音節嗎？」你問窺孔那邊的傢伙。
"At least," replies the voice through the door.	「至少有，」門那邊的聲音回答。
No one can hear you through the door.	沒人聽得到你在門另一邊說什麼。
Phew!	呼！
Geez, Larry, you MUST be drunk! Talking to a moose, indeed?!	天啊，Larry，你一定喝醉了！竟然在跟駝鹿說話？！
"...what's the matter, Honey? Ain't you got a vase?"	「…怎麼啦，寶貝？你沒有花瓶嗎？」
You are in a dimly lit hallway. The paint peeling off the walls gives the cockroaches something to watch. An old table is pushed against the west wall. A filthy drunk wearing filthy clothes sits on the filthy floor, leaning his filthy back against the filthy wall.	你身處一條昏暗的走廊。牆上剝落的油漆讓蟑螂有得看。西邊牆邊靠著一張舊桌子。一個渾身骯髒的醉鬼坐在骯髒的地板上，把骯髒的背靠在骯髒的牆上。
"Oh well, since you're leavin' anyway, jes' forgit it."	「算了吧，反正你要走了，就別說了。」
"...all I got in the world."	「…這是我在世上僅有的東西。」
"Besides, what'sha guy like me need witta television remote control!?"	「何況，我這種傢伙幹嘛要遙控器！」
Thoughts of romance are awakened as the scent of the red rose reaches your nostrils.	紅玫瑰的香氣傳入你鼻腔，腦海中浮現浪漫念頭。
You take pity on the poor drunk and want to help him, but his odor convinces you otherwise.	你可憐這個窮醉鬼想幫他，但他臭烘烘的味道讓你改變主意。
You reel back as the putrid stench of the unfortunate assails your senses.	這倒楣傢伙散發的惡臭襲擊你，你往後一縮。
He responds, "Shhay, buddy, thanx for da dollar. Butcha know, whad I could really usshh is a good, sshhtiff belt!"	他回應：「嘿，老兄，謝啦。但你知道我真正需要的是一杯烈酒！」
"Hey, waddaya think, I got no class?" mumbles the drunk. "I'm a whiskey drinker, pure and simple!"	「嘿，你以為我沒品味？」醉漢咕噥著。「我就是威士忌咖，純粹又簡單！」
"Know what time it is?" you ask the drunk.	「知道現在幾點嗎？」你問醉漢。
"Time for you t' buy me a drink!" he responds.	「現在是你該買我喝酒的時候！」他回答。
"Here, have a shot of this!" you tell the drunk.	「來，喝這個！」你對醉漢說。
"Whadt?" he replies, "and ruin my edge?"	「什麼？」他回答，「這樣會毀了我的興致？」
"It'ssh lovely, but I don't know you well enough to get engagshed!"	「這東西不錯，但我們沒熟到能訂婚的地步！」
He's a drunk, Larry; there's only one thing he wants.	他是個醉漢，Larry；他就想要一樣東西。
You can't drink what's in THOSE barrels!	你喝不了那些桶子裡的東西！
You have no use for such a lovely table.	你用不著這種漂亮的桌子。
You can't reach that high.	你夠不著那麼高的地方。
Water drips merrily down the drain in Lefty's lovely sink.	水在 Lefty 的可愛洗手槽裡愉快地滴進去。
"Hey, you missed the toilet!"	「嘿，你沒尿中馬桶！」
(You doze briefly.)	（你短暫地打了個瞌睡。）
You feel flushed!	你感覺臉紅了！
Sometimes good manners are a bad idea, eh, Larry?	有時候講禮貌不是好主意，對吧，Larry？
Got it!  You briefly consider an attempt to find the ring's owner, but return to your normal self and pocket it instead.	拿到了！你一度想找找這枚戒指的主人，但轉念一想就把它偷偷放進口袋裡。
A small, neatly lettered sign reminds you:  "Since we can't clean up after every customer, please rinse out this sink when you are finished."	一張小牌子提醒你：「因為我們無法為每位客人擦屁股，使用完後請自行清理這個洗手槽。」
(Evidently, you are the first customer who can read.)	（顯然你是第一個看得懂字的客人。）
You briefly consider yodeling in the stagnant water.	你一度想在這灘死水裡唱山歌。
It would help, but not much.	那或許有幫助，但幫助不大。
You dip your wallet into the slimy bowl just for the feeling you get when you slide it back in your pocket!	你把皮夾泡進這爛爛的馬桶，只是為了享受把它放回褲袋的快感！
You quickly wash your hands, then realize there are no paper towels.	你急忙洗手，然後才發現沒有紙巾。
You quickly memorize some of the graffiti.	你趕緊記住一些塗鴉。
