"No commitments, Honey. This is a biz'nus deal!"	"沒有約定，寶貝。這純粹是生意買賣！"
"You jes' gonna stand there and play with your li'l remote?"	"你就站那邊玩你的小搖控器？"
"Yeah, them's a good idea. Lemme see that'n. Well, how 'bout dat! I didn't know they came in `Extra Small!'"	"是喔，好主意。讓我看看。怎樣！我不知道還有『超迷你』尺寸！"
"Naw, Nuggie, none for me. But I jes' had me a john that gimme a box a' candy jus' like that'n."	"不要，親愛的，我不要。不過我剛有個客人送我盒糖果長一樣。"
"Why waste yore time at the disco? We kin do the horizontal bop right here!"	"何必浪費時間跑舞廳？咱們在這兒就能搖啊搖！"
"Honey, dinner an' drinks ain' necessary here!"	"寶貝，這兒根本不需要吃飯喝酒！"
"I've seen better!"	"我看過更水的！"
"I hardly need extrinsic motivation!"	"老兄，我根本不需要人家鼓勵！"
"No S. and M. here, buddy!"	"這兒沒在玩那套，老哥！"
"Honey, you don' need no knife. You can assault me with YORE deadly weapon!"	"寶貝，你不用刀啦。你可以直接用你的致命武器蹂躪我！"
"He did? Ain't he the sweetest? He's always sendin' me bizness!"	"是喔？他人真好！他總是介紹客人給我！"
"Say, Honey-chil', whacha come up here for--bartering?"	"說啊，親愛的，你上來是要換東西嗎？"
NOW!?	現在!?
What smoldering eyes!	多迷人的眼神啊！
Look out! It's the "Jaws of Life!"	小心！那是『生命之鑿』！
There is a box of candy on the hooker's table. Probably a gift from some admirer, you suppose.	桌上有盒糖果。大概是哪個客人送的禮物吧。
You can't take her table. She's nailed it to the floor.	你拿不走她的桌子。她釘死在地上了。
Although you would look precious in that little white lace number, you're just not that kind of guy!	雖然穿上那件小白蕾絲看起來很嬌艷，但你根本不是那種人！
The hooker's underwear are not of the edible variety.	那位小姐的內褲不是吃的。
The bed smells of stale cigarette smoke.	床上全是陳舊的菸味。
The clothesline is barely strong enough to hold its present light load. Besides, if you take it, her underwear would fall down.	曬衣繩勉強能撐現在的輕東西。而且你要是拿走，她的內褲就會掉下來。
(And you know how em-bare-assing THAT would be!)	(你知道那會有多尷尬！)
Although the pocket knife is sharp enough, you have no need to hassle this poor girl.	雖然小刀夠利，但沒必要惹這可憐女孩。
You have no use for cigarette butts.	菸蒂對你沒用。
Yeah, Larry! You should be so lucky!	是啊 Larry！你做夢都沒這運氣！
