25 per cent.	25 per cent.
1Blackjack is	1Blackjack is
an ace and a face card.	an ace and a face card.
used by policemen.	used by policemen.
related to Caucasian Tom.	related to Caucasian Tom.
a kind of car sold only in Fresno.	a kind of car sold only in Fresno.
4Canada is	4Canada is
where Canadians live.	where Canadians live.
north of the U. S.	north of the U. S.
adjacent to the U. S.	adjacent to the U. S.
2Oral Roberts is	2Oral Roberts is
a thermometer technique.	a thermometer technique.
an evangelist.	an evangelist.
best done with a friend.	best done with a friend.
shy.	shy.
0Richard Nixon was	0Richard Nixon was
an audio technician.	an audio technician.
a plumber's friend.	a plumber's friend.
a president.	a president.
3A 747 is	3A 747 is
a cocktail.	a cocktail.
a perfect bowling score.	a perfect bowling score.
a large airplane.	a large airplane.
a prime number.	a prime number.
1Whips, chains and handcuffs are	1Whips, chains and handcuffs are
kinky.	kinky.
used by police departments.	used by police departments.
usually in text adventures.	usually in text adventures.
only permitted in Eastern schools.	only permitted in Eastern schools.
0A Macintosh is	0A Macintosh is
a kind of Apple.	a kind of Apple.
a kind of apple.	a kind of apple.
an article of clothing.	an article of clothing.
4My parents are	4My parents are
age 10 to 25.	age 10 to 25.
age 25 to 30.	age 25 to 30.
age 31 to 35.	age 31 to 35.
36 or over.	36 or over.
4My favorite actor is	4My favorite actor is
Pia Zadora.	Pia Zadora.
Fred Flintstone.	Fred Flintstone.
Jim Bakker.	Jim Bakker.
not listed here.	not listed here.
4I have hair on my	4I have hair on my
head.	head.
palms.	palms.
keyboard.	keyboard.
lottsa places.	lottsa places.
2When it's noon in California in August, in St. Louis it's	2When it's noon in California in August, in St. Louis it's
miserable.	miserable.
time for a beer.	time for a beer.
2The best "pick-up" line is:	2The best "pick-up" line is:
Hey baby, what's your sign?	Hey baby, what's your sign?
Want to go for a ride in my Porsche?	Want to go for a ride in my Porsche?
For a fat girl, you sure don't sweat much!	For a fat girl, you sure don't sweat much!
You got any Vaseline on you?	You got any Vaseline on you?
4The "Mile-High Club" is	4The "Mile-High Club" is
a bird-watching society.	a bird-watching society.
a Denver ski club.	a Denver ski club.
a bar in East L. A.	a bar in East L. A.
open to those who have performed aerial acrobatics inside a plane's rest room.	open to those who have performed aerial acrobatics inside a plane's rest room.
3My sex life is best described as	3My sex life is best described as
non-existent and non- contemplated.	non-existent and non- contemplated.
what sex life?	what sex life?
none of your business!!	none of your business!!
a ripening tomato.	a ripening tomato.
1Elizabeth Taylor is	1Elizabeth Taylor is
an actress.	an actress.
creator of a line of cosmetics.	creator of a line of cosmetics.
celebrating her silver wedding anniversary.	celebrating her silver wedding anniversary.
3Joan Rivers is	3Joan Rivers is
the real name of "Dear Abby."	the real name of "Dear Abby."
engaged to Johnny Carson.	engaged to Johnny Carson.
a talk show hostess.	a talk show hostess.
polite to all those around her.	polite to all those around her.
4Who starred in "Bedtime for Bonzo?"	4Who starred in "Bedtime for Bonzo?"
Clint Eastwood	Clint Eastwood
Fred Astaire	Fred Astaire
Cary Grant	Cary Grant
0Taxes should be	0Taxes should be
lower.	lower.
higher.	higher.
unchanged.	unchanged.
eliminated.	eliminated.
0A moon is	0A moon is
an astronomical body.	an astronomical body.
a practical joke.	a practical joke.
a form of pie.	a form of pie.
2Marlon Brando is	2Marlon Brando is
a politician.	a politician.
a kind of soap.	a kind of soap.
4I am presently	4I am presently
in elementary school.	in elementary school.
in junior high.	in junior high.
fighting acne.	fighting acne.
past puberty.	past puberty.
4Herpes is	4Herpes is
caught from toilet seats.	caught from toilet seats.
a French dessert.	a French dessert.
socially desirable.	socially desirable.
fatal (if given to your spouse).	fatal (if given to your spouse).
2ERA is an abbreviation for	2ERA is an abbreviation for
Earnest Realtors of America.	Earnest Realtors of America.
Equal Rights Amendment.	Equal Rights Amendment.
Erogenous Readers Association.	Erogenous Readers Association.
Error Recovery Associates.	Error Recovery Associates.
4G. Gordon Liddy was associated with	4G. Gordon Liddy was associated with
the Mob.	the Mob.
Calvin Klein.	Calvin Klein.
Elizabeth Taylor.	Elizabeth Taylor.
the Plumbers.	the Plumbers.
2What was illegal during Prohibition?	2What was illegal during Prohibition?
aphrodisiacs	aphrodisiacs
alcohol	alcohol
abstinence	abstinence
perversion	perversion
2Bonnie and	2Bonnie and
Ronnie	Ronnie
Clyde	Clyde
Hubbard	Hubbard
Clod	Clod
2Who spends the most time in Las Vegas?	2Who spends the most time in Las Vegas?
Michael J. Fox	Michael J. Fox
Wayne Newton	Wayne Newton
J. Paul Getty	J. Paul Getty
