an actress.	一位女演員。
creator of a line of cosmetics.	化妝品系列的創造者。
celebrating her silver wedding anniversary.	慶祝她的銀婚週年。
3Joan Rivers is	3瓊·瑞佛斯是\n\n(Joan Rivers is)
the real name of "Dear Abby."	「親愛的艾比」的真名。
engaged to Johnny Carson.	與強尼·卡森訂婚。
a talk show hostess.	脫口秀主持人。
polite to all those around her.	對身邊所有人都很有禮貌。
4Who starred in "Bedtime for Bonzo?"	4誰主演《邦佐睡前記》？\n\n(Who starred in "Bedtime for Bonzo?")
Clint Eastwood	克林特·伊斯威特
Fred Astaire	佛瑞德·亞士塔
Cary Grant	卡利·葛蘭特
0Taxes should be	0稅收應該\n\n(Taxes should be)
unchanged.	維持不變。
a practical joke.	一個惡作劇。
2Marlon Brando is	2馬龍·白蘭度是\n\n(Marlon Brando is)
a politician.	一位政治家。
a kind of soap.	一種肥皂。
fighting acne.	在對抗痘痘。
past puberty.	青春期已過。
caught from toilet seats.	從馬桶座傳染的。
a French dessert.	一種法式甜點。
socially desirable.	社交上理想的。
fatal (if given to your spouse).	致命的（如果傳給你的配偶）。
2ERA is an abbreviation for	2ERA 是…的縮寫\n\n(ERA is an abbreviation for)
Earnest Realtors of America.	美國認真房地產經紀人。
Equal Rights Amendment.	平等權利修正案。
Erogenous Readers Association.	性感讀者協會。
Error Recovery Associates.	錯誤恢復協會。
4G. Gordon Liddy was associated with	4G·戈登·李迪與…有關\n\n(G. Gordon Liddy was associated with)
Calvin Klein.	卡爾文·克萊因。
Elizabeth Taylor.	伊莉莎白·泰勒。
the Plumbers.	水管工們。
2What was illegal during Prohibition?	2禁酒令期間什麼是違法的？\n\n(What was illegal during Prohibition?)
2Who spends the most time in Las Vegas?	2誰在拉斯維加斯花最多時間？\n\n(Who spends the most time in Las Vegas?)
Michael J. Fox	麥可·J·福克斯
Wayne Newton	韋恩·牛頓
J. Paul Getty	J·保羅·蓋蒂
Paul Volcker	保羅·沃爾克
3Which U. S. President was not elected to office?	3下列哪位美國總統不是被選舉產生的？\n\n(Which U. S. President was not elected to office?)
Cleveland	克利夫蘭
3Which is not a currency?	3下列哪個不是貨幣？\n\n(Which is not a currency?)
3Which is not a baseball team?	3下列哪個不是棒球隊？\n\n(Which is not a baseball team?)
1Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?	1誰發行過一張唱片，封面就是一條真的牛仔褲，還有真的拉鍊？\n\n(Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?)
Rolling Stones	滾石樂隊
Boy George	喬治男孩
Olivia Newton Jean	奧莉薇亞·紐頓-約翰
1Bob Hope, Dinah Shore, Elvis, and the Beatles all made their American television debut on	1鮑勃·霍普、黛娜·肖爾、貓王和披頭四都在哪個節目上首次登上美國電視？\n\n(Bob Hope, Dinah Shore, Elvis, and the Beatles all made their American television debut on)
"The Ed Sullivan Show."	"艾德·蘇利文秀"
"My Mother, the Car."	"我媽是輛車"
2Michael Doonesbury founded	2麥克·杜尼斯伯里創辦了\n\n(Michael Doonesbury founded)
the American Nazi Party.	美國納粹黨
Walden Puddle Commune.	瓦爾登湖公社
the Young Republicans.	共和黨青年團
the Grace Jones Fan Club.	葛蕾絲·瓊斯粉絲俱樂部
3The first baseball player to challenge the reserve clause was	3第一個向棒球保留條款提出挑戰的球員是\n\n(The first baseball player to challenge the reserve clause was)
Philly Jo Jones.	菲利·喬·瓊斯
Roger Maris.	羅傑·馬瑞斯
Curt Flood.	寇特·佛洛德
Ted Williams.	泰德·威廉斯
1The first Negro to play Major League Baseball was	1第一位進入職棒大聯盟的黑人球員是\n\n(The first Negro to play Major League Baseball was)
Jackie Robinson.	傑基·羅賓遜
Joe DiMaggio.	喬·迪馬喬
Benny Goodman.	班尼·古德曼
Satchel Paige.	薩奇爾·佩奇
2Former Congressman Wilbur Mills went for a dip in the Tidal Basin with	2前國會議員威爾伯·米爾斯在潮汐湖裡游泳時只穿著\n\n(Former Congressman Wilbur Mills went for a dip in the Tidal Basin with)
nothing on but his pride.	只有他的驕傲
a stripper named Fanne.	一位名叫范妮的脫衣舞者
his dog Spot.	他的狗斯波特
a 20-year-old secretary.	一位 20 歲的秘書
3Martha Mitchell was	3瑪莎·米切爾是\n\n(Martha Mitchell was)
a porno star.	色情明星
a famous author.	著名作家
the outspoken wife of an Attorney General.	司法部長的直言不諱的妻子
2The G-Spot is supposed to be	2據說G點是\n\n(The G-Spot is supposed to be)
Ground Zero at a nuclear blast.	核爆的零點
a female erogenous zone.	女性的敏感區
an unexplained astro- nomical discovery.	一個神秘的天文發現
the place where the FBI was first established.	聯邦調查局成立的地方
4Hugh Hefner is usually photographed in	4休·海夫納通常被拍到穿著\n\n(Hugh Hefner is usually photographed in)
a hot tub.	熱水浴缸裡
his current lover's arms.	他現任情人的懷裡
1The 1973 album "Dark Side of the Moon" was recorded by	11973 年的專輯《月球背面》是由下列誰錄製的\n\n(The 1973 album "Dark Side of the Moon" was recorded by)
Pink Floyd.	平克·弗洛伊德樂隊
Deep Purple.	深紫樂隊
the Grateful Dead.	感恩而死樂隊
2When playing "Monopoly" you	2玩大富翁時你\n\n(When playing "Monopoly" you)
hope for a straight flush.	希望抽到同花順
must own four houses before building a hotel.	必須先擁有四棟房子才能蓋飯店
need a black jack to win.	需要黑傑克才能贏
win with a seven and a five.	拿到七和五就贏了
3Which is not in Hawaii?	3下列哪個不在夏威夷？\n\n(Which is not in Hawaii?)
4Which is not a car?	4下列哪個不是汽車？\n\n(Which is not a car?)
3President Eisenhower's nickname was	3艾森豪總統的綽號是\n\n(President Eisenhower's nickname was)
4Bourbon Street is in	4波旁街在\n\n(Bourbon Street is in)
Whiskeyville, Indiana.	威士忌村，印第安納州
Jackass Flats, Idaho.	蠢驢平原，愛達荷州
New Orleans, Louisiana.	紐奧良，路易斯安那州
1Does a pair of queens beat three deuces?	1一對皇后能贏三個二點嗎？\n\n(Does a pair of queens beat three deuces?)
Yes, in blackjack.	對，在二十一點裡
Yes, in poker.	對，在撲克裡
No, in canasta.	不，在卡納斯塔裡
It depends on what the three deuces said.	要看那三個二點說什麼
3Calvin Klein is	3卡爾文·克萊因是\n\n(Calvin Klein is)
married to Brooke Shields.	和布魯克·雪德茲結婚
a movie star.	電影明星
a clothing designer.	服裝設計師
President of the Coarsegold Chamber of Commerce.	粗金商會會長
all it takes to consume a "Big Mac."	只需要消費一個"大麥克"的成本
computer talk.	電腦術語
about a dollar.	差不多一塊錢
the former cost for a shave and a haircut.	以前刮鬍子和剪髮的費用
4Charlie McCarthy and	4查理·麥卡錫和\n\n(Charlie McCarthy and)
John Lennon	約翰·藍儂
Louis Pasteur	路易·巴斯德
Albert Einstein	阿爾伯特·愛因斯坦
Edgar Bergen	埃德加·伯根
4Who is not a famous musician?	4下列誰不是著名音樂家？\n\n(Who is not a famous musician?)
Lawrence Welk	勞倫斯·韋爾克
Tommy Dorsey	湯米·多西
Les Brown	萊斯·布朗
Steve Garvey	史蒂夫·加維
3Which is non-alcoholic?	3下列哪個不含酒精？\n\n(Which is non-alcoholic?)
Grand Marnier	大瑪尼亞
3Who was not a politician?	3下列誰不是政治人物？\n\n(Who was not a politician?)
Richard Nixon	理查德·尼克松
George Bush	喬治·布什
3The last name of Annette (on the original Mickey Mouse Club) was	3安妮特（在原版米老鼠俱樂部上）的姓氏是\n\n(The last name of Annette (on the original Mickey Mouse Club) was)
that WAS her last name.	那就是她的姓氏啦。
3"Tiptoe Through the Tulips" was recorded by	3《踮腳走過鬱金香》由以下錄製
