"If you're short of money, you could always try gambling at the casino."	錢不夠？試試賭場碰運氣。
"If you're bored hanging around my place, try hailing a cab outside."	在我這兒悶死了？外面叫計程車去。
"Have you talked to Sierra On-Line lately?"	Have you talked to Sierra On-Line lately?
"Guys tell me I need to clean my rest room walls."	各位說我得清浴室牆壁。
He appears to be perverted, twisted and sick!	他看起來變態、扭曲又病態！
You instantly take a liking to him.	你立刻喜歡上他。
The bar's storage room is almost empty. Its most significant feature is a big, mean-looking dude.	酒吧儲藏室幾乎空著。最顯著的特徵是個高大凶悍的傢伙。
"Ya wanna go upstairs?" he says in a scholarly voice, "ya gotta pays da price!"	「要上樓嗎？」他文雅地說，「得付錢啦！」
"$100.00, cash up front, no refunds."	「一百塊，先付現金，概不退款。」
He certainly has a pleasing manner about him.	他真是讓人愉快。
"Thanks," he growls. "Remember, no refunds!"	「謝了，」他低聲吼道，「記住，沒有退款！」
Evidently no one in the bar wants to play "Knock, knock" with you.	酒吧裡沒人想跟你玩「敲敲門」。
It's the door from the bar. Its far side looks better than this side.	這是酒吧的門。另一邊看起來比這邊順眼。
You don't have enough money.	你錢不夠。
"You like that stuff, eh, boy?"	「你喜歡那玩意兒，是吧，小子？」
The pimp seems vaguely interested, but not enough to leave his post by the stairs.	皮條客似乎有點感興趣，但還不夠讓他離開樓梯邊。
The pimp growls, "You got no business goin' up these stairs, little man!"	皮條客低聲吼道，「你沒資格上樓，小傢伙！」
It appears you've finally reached the pimp's cultural level.	看來你終於達到皮條客的文化程度。
He ignores you. It looks like he's "engrossed" in something right now.	他忽視你。看起來他現在「沉浸在」某事中。
"Oh, John."  "Oh, Marsha."\n"OH, John."  "OH, Marsha."\n"Oh, JOHN!"  "Oh, MARSHA!"\n"OH, JOHN!!" "OH, MARSHA!!"	「噢，約翰。」 「噢，瑪莎。」
「噢，約翰。」 「噢，瑪莎。」
「噢，約翰！」 「噢，瑪莎！」
「噢，約翰！！」「噢，瑪莎！！」
"...I'm Al Fartles, and this is my partner, Fed Ames. We just want to tell you how much we appreciate your support..."	「……我是 Al Fartles，這位是我的搭檔 Fed Ames。我們只想告訴你我們有多感謝你的支持……」
"...and now, ALoHa Productions is proud to present 'The Revenge of the Software Developers' in full color and stereo sound..."	「……現在，ALoHa Productions 榮幸呈現《軟體開發者的復仇》彩色立體聲版本……」
"...while Jim is fighting for his life with the raging female rhinoceros in heat, I'll slip into my tent with the native girl and this pitcher of Mai Tais..."	「……Jim 在跟發情的母犀牛搏鬥時，我就溜進帳篷跟當地女孩和這壺邁泰一起……」
"...it's a beautiful day in the neighbor..."	「……真是鄰居……美好的一天」
"...live from Malaga, California, it's the Cable Sports Network presentation of the Miniature Female Mud Wrestlers 500-kilometer Cross-Country Nude Bicycle Race..."	「……從馬拉加加州直播，這是有線運動網呈現的《迷你女性泥浴摔跤手 500 公里越野裸體自行車賽》……」
"...And next, Master Piece Theatre presents a special 3-D broadcast of 'Naugahyde Goddesses of Oakhurst!'"	「……接下來，大師傑作劇院呈現《Naugahyde 女神秀@橡樹城！》3D 特別版」
"...oh, baby, yeah. Yeah, I love it when you do that! Ooooooooooh!! That hurts so good, pull it out a little deeper!!!"	「……噢，寶貝，爽。爽，我喜歡你這樣做！噢噢噢！！那感覺真好，再深一點！！！」
The knob is broken off. There's no way to turn it.	旋鈕斷了。沒辦法轉。
It already is!	它已經開著了！
You click the power switch on the remote control.	你按下遙控器的電源開關。
You click the channel selector on the remote control.	你按下遙控器的頻道選擇鈕。
Nah. He's having a good time!	不，他玩得很開心！
They're boxes, all right.	都是箱子沒錯。
The remote control seems ineffectual from this angle.	從這角度遙控器好像沒用。
The TV is off.	電視關著。
"Pretty good stuff, eh, boy?" laughs the pimp.	「好東西，是吧，小子？」皮條客笑道。
