You talk to yourself, and are amazed to discover you already know what you're going to say.	You talk to yourself, and are amazed to discover you already know what you're going to say.
Good idea. You carefully remove your lubber and dispose of it in a way that will not be described here.	Good idea. You carefully remove your lubber and dispose of it in a way that will not be described here.
Carefully exploring your leisure suit, you find it stylish but empty.	Carefully exploring your leisure suit, you find it stylish but empty.
Larry! The whole point of this game was to stop doing that!	Larry! The whole point of this game was to stop doing that!
"Phew! You smell like a used fire hydrant!"	「呸！你聞起來像用過的消防栓！」
Sniffing your leisure suit thoroughly, you conclude there's nothing quite like the fragrance of fresh polyester! Ahhh!	Sniffing your leisure suit thoroughly, you conclude there's nothing quite like the fragrance of fresh polyester! Ahhh!
Licking your leisure suit leads you to the conclusion that polyester doesn't mean good taste!	Licking your leisure suit leads you to the conclusion that polyester doesn't mean good taste!
You pay yourself a few bucks, which you decide to keep in your wallet.	You pay yourself a few bucks, which you decide to keep in your wallet.
Now?!	現在？！
You don't need to wind your watch; it's self-winding.	You don't need to wind your watch; it's self-winding.
(And it seems lately, you've been winding it plenty!)	(And it seems lately, you've been winding it plenty!)
The apple tastes delicious. You devour it all.	The apple tastes delicious. You devour it all.
Slipping the magic ring onto your finger gives you powers far beyond those of...	Slipping the magic ring onto your finger gives you powers far beyond those of...
...Oops. Wrong game.	...哎呀，玩錯遊戲了。
You slam down the shot of cheap booze, then with a flourish, break the glass on the floor!	You slam down the shot of cheap booze, then with a flourish, break the glass on the floor!
(Pretty dramatic, eh?)	(Pretty dramatic, eh?)
Although it appears to do nothing, aiming the remote control at your groin while rapidly pressing the channel selector does make you feel quite silly.	Although it appears to do nothing, aiming the remote control at your groin while rapidly pressing the channel selector does make you feel quite silly.
You prick yourself with the rose.	You prick yourself with the rose.
This is hardly the place for that!	This is hardly the place for that!
The candy tastes so delicious, you consume it all. Now you're worried about your acne.	The candy tastes so delicious, you consume it all. Now you're worried about your acne.
Come on, Larry! Don't lose hope! There's no need to commit suicide... at least, not yet!	Come on, Larry! Don't lose hope! There's no need to commit suicide... at least, not yet!
You quickly down all the cheap wine, crumple the box, and toss it away. Your thirst is gone.	You quickly down all the cheap wine, crumple the box, and toss it away. Your thirst is gone.
