Another boring %s	又是無聊的 %s
The pimp seems vaguely interested in this program%s	皮條客對這節目似乎有那麼點興趣%s
Well, well, Larry! It appears you've finally reached the pimp's cultural level.	嗯哼，賴瑞！看來你的文化水準終於跟皮條客平起平坐了。
The pimp ignores you. He's "totally engrossed" in something else right now.	皮條客不甩你，他正「全神貫注」在別的事情上。
What? You want to pick a fight with the pimp? He's far too big, and you're far too wimpy.	什麼？你想找皮條客單挑？他人高馬大，你弱雞一隻，想都別想。
"HEY! Waddayou crazy?!"	「嘿！你是咧瘋喔？！」
He smells of wet fur.	他身上一股濕狗毛味。
"If ya wanna go upstairs," he says in his scholarly voice, "ya gotta pays da price!"	「想上樓？」他用一副學問家的口氣說，「代誌沒那麼簡單，先付錢！」
"$200.00, cash up front, no refunds."	「兩百塊，現金先付，概不退費。」
(He certainly has a pleasing manner about him.)	（這人講話還真有一套讓人如沐春風的本事，是吧。）
There is no need to pay the pimp; he's pleasantly distracted. Help yourself!	不用付皮條客錢，他正爽爽分心中，自己上去吧！
You'd love to pay the pimp his $200.00, but you just don't have enough money.	你很想給皮條客那兩百塊，可惜口袋比臉還乾淨。
"Thanks," he growls. "Remember, no refunds!"	「謝啦，」他低吼道，「記住，概不退費！」
"You mus' really like that stuff, eh, boy?"	「小子，你一定很愛那玩意兒齁？」
"Have a nice lay."	「祝你春宵愉快。」
The remote control's operation is far too sophisticated for his mental capabilities.	遙控器的操作，對他那顆腦袋來說太高深了。
Save your ring in case you find your "true love," Larry!	戒指留著吧，賴瑞，說不定哪天你真找到「真愛」！
You'd never be able to tie his up with that ribbon, Larry.	用那條緞帶？你綁不住他的，賴瑞。
The pimp is far too big for you to attack, even using your hammer as a weapon.	就算拿錘子當武器，皮條客的塊頭也不是你打得動的。
(Besides, you're a lover, not a fighter!)	（何況，你是風流鬼，不是打架咖！）
The pimp is far too big for you to attack, even using that pocket knife for a weapon.	就算拿那把小刀當武器，皮條客的塊頭也不是你打得動的。
(Besides, you're a lover, not a fighter!	（何況，你是風流鬼，不是打架咖！
The pimp isn't interested in %s. He prefers money.	皮條客對 %s 沒興趣，他只認錢。
It is not wise to fondle a moose!	亂摸駝鹿？你這樣真的很不智！
Jeez, Larry! Who has the bigger antlers, you or the moose?!	天啊，賴瑞！你跟駝鹿，誰的角比較大啊？！
"How's Rocky?" you ask.	「Rocky 還好嗎？」你問。
(There is no reply.)	（沒人回答。）
It smells like an old moosehide--because it IS an old moose's hide!	聞起來像舊駝鹿皮——因為它本來就是舊駝鹿皮！
Sorry, Larry! Wrong kind of tail!	抱歉啦賴瑞！這尾巴不是那種尾巴！
"Yeah? Wadd's da passwoid?" you say to the peephole in the door.	「是喔？密碼是啥？」你對著門上的窺孔說。
You love playing the part of the pimp in these little fantasies of yours, don't you?	你在自己的小幻想裡最愛演皮條客，對吧？
Get your mind back on the game, Larry!	把心思收回來，賴瑞，好好玩遊戲！
The television screen is blank; much like the pimp's mind.	電視螢幕一片空白，跟皮條客的腦袋一樣空。
The television set's knobs are broken off. There's no way to turn it off or on, or even change channels.	電視的旋鈕全斷了，開關、轉台都沒辦法。
The remote control seems ineffectual from this angle.	從這角度看，遙控器根本按辛酸的。
Nah. He's having a good time!	免啦，他正爽咧！
You briefly consider stacking all the boxes into a perilous tower, then dangerously climbing up them inch by inch to reach the top of the staircase, avoiding the pimp and making your way to the hooker that waits above.	你一度想把箱子疊成一座搖搖欲墜的塔，冒著粉身碎骨的風險一寸寸爬上樓梯頂端，繞過皮條客，去找樓上等你的妓女。
Then you remember how clumsy you really are and decide you'd rather find a casino and gamble.	但你想起自己手腳有多不利索，還是去賭場碰運氣算了。
You can't drink from these barrels; they're empty.	這些桶子空空如也，喝不出東西。
It smells of stale malt and barley.	聞起來是陳年的麥芽味。
