Yep! This would be a perfect time! The Surgeon General would be proud.	沒錯！機會來了！這下衛生局長都要按讚！
You already are wearing it.	你已經穿上了啦。
It looks like the hooker has a box of candy on her table.	看起來那位應召小姐的桌上擺了盒糖果。
Although successful, you feel less than satisfied. Technically speaking, you're no longer a virgin, but for some reason, the thrill just wasn't there. You vow to continue your quest until you please your heart, not just your other organs!	雖然任務達成，你卻覺得心裡空空的。嚴格說來，你已經不是處男了，但那股悸動就是沒出現。你發誓要繼續尋找——討好的該是你的心，不是只顧下面那位！
Sniffing the air, you're suddenly hungry for tuna.	你吸了吸鼻子，突然好想來罐鮪魚，也不知道為什麼。
"Come on over here, Larry!"	「過來這邊嘛，賴瑞！」
She says, "Me first!" as she%m25	她說：「我先來！」然後她%m25
Not again! A guy can only take so much!!	又來了！男人也是有極限的好嗎！！
She seems more interested in that cigarette than she was in you.	她對那根菸的興趣，顯然比對你濃厚。
It's a good thing you were wearing that rubber!	還好你有戴套，不然就糗大了！
It's already open.	已經開著了。
Nah. This room needs the fresh air!	不用啦。這房間需要透透氣！
You repeatedly bang your head against the closed glass.	你的頭一次次撞上關著的玻璃，撞得梆梆響。
It's a really ugly table.	這桌子醜到有剩。
"Jeez, Mister! What've you been eating? Buffalo chips???"	「天啊，大哥！你到底吃了什麼？牛糞餅乾嗎？？？」
She certainly seems to enjoy that gum.	她嚼那口香糖，嚼得倒挺開心。
A sign near the bed says: "Substantial penalty for early withdrawals."	床邊掛著一個牌子：「提早『領』出，違約金照算。」
"So," she snarls, "you just gonna stand there, or what?"	「怎樣，」她咆哮道，「你是要站到天荒地老喔？」
"Was it good for you, baby?" you ask her.	「爽嗎，寶貝？」你問她。
"Was what good?" she replies.	「什麼爽？」她回你。
Although you might look precious in that little white lace number, you're just not that kind of guy!	雖然你穿那件白色蕾絲小可愛可能還挺正的，但你真的不是那掛的！
 goes to work on you. Then she smiles as she bites it off! "Sorry, Larry. No oral sex in this game. Suffer!"	對你動手動腳。接著她笑笑一口咬斷！「抱歉啦，賴瑞。這遊戲沒有口活這關，自己忍著吧！」
Now's a great time to think of that!	現在才想到，還真是時候！
"Is that a toothpick in your pocket, or are you just happy to get past my pimp?"	「你口袋裡那是牙籤，還是你只是很高興閃過我馬伕的追殺？」
You'd have a better view if you'd move to the front of the bed!	「你要是移到床前面，視野會好上很多！」
There is a fire escape outside the window.	窗外有逃生梯。
The clothesline is barely strong enough to hold its present load. Poor girl, you'd think at these prices she could afford a laundromat.	曬衣繩快撐不住上頭那些行頭了。可憐的姑娘，論她收的價碼，應該請得起洗衣店吧。
"Hey, what kind of girl do you think I am?"	「嘿，你把我當什麼女人了？」
It's getting old and rusty -- not unlike you, Larry.	它又老又生鏽——跟你一個樣，賴瑞。
It just hangs there.	它就這樣掛著。
There's nothing (and no one) there.	那裡什麼都沒有（誰也沒有）。
It, too, is broken.	它也壞了。
It's barely strong enough to hold up its present load. Besides, if you take it, her underwear would fall down.	它快撐不住現在掛的東西了。而且你要是拿走，她的內褲就會掉滿地。
There is a table near the window.	窗邊有張桌子。
There's nothing there.	那裡什麼都沒有。
You have no use for a stained pillow.	一顆有污漬的枕頭，你留著也沒用。
You are as naked as you're going to get!	你已經脫到不能再脫了！
With all your clothes on?	穿著全套衣服？
You slyly tap out a message in Morse code; unfortunately, only some rats hear it.	你偷偷用摩斯密碼敲出求救信號；可惜聽到的只有幾隻老鼠。
You can't. She's nailed it to the floor.	辦不到，她把它釘死在地板上了。
Your rope is not long enough to reach outside.	你的繩子不夠長，搆不到外面。
NOW!? You've come this far, Larry; now's the time to do more than just look!	現在！？賴瑞，都走到這一步了，現在可不是只用看的時候！
...your night in Sierra World is over, and (technically speaking) you're still...	……你在 Sierra World 的春宵一夜結束了，而且（嚴格說來）你依然……
Sorry, but you'll have to restore your game; when you panic, I forget everything!	抱歉，你得重新讀取進度了；你一慌，我什麼都忘光光！
