Ok.\n\nYou toss back the shot of cheap booze, then dramatically break the glass on the floor!	好！\n\n你一飲而盡那杯爛酒，然後戲劇性地把玻璃杯砸在地上！
Thanks for playing "Leisure Suit Larry in the Land of the Lounge Lizards."\n\nYou screwed up this game, but you can probably do better.\n\nCome on, let's do it just one more time!	感謝遊玩《Leisure Suit Larry in the Land of the Lounge Lizards》。\n\n你把這遊戲玩砸了，但下次應該能做得更好。\n\n來吧，再玩一次！
Since you're dead...\n\nall you can do is restore a saved game or start over.	你已經掛了…\n\n現在只能重新讀檔或重新開始。
You don't have it.	你沒有那東西。
Sorry, this is a real-time game!	抱歉，這是即時遊戲！
You find your leisure suit very stylish, but empty.	你的豔裝套裝很時髦，但口袋空空。
You have no need to take it.	你沒必要拿它。
You might need it.	你可能會用到它。
Following your conviction for bestiality, you spend the rest of your life in prison, turning big rocks into little ones!	在獸交罪名定罪後，你在獄中度過餘生，把大石頭砸成小石頭！
"Same to you!"	「彼此彼此！」
Once you tasted it, you wouldn't want it!	嚐過一次後，你就不會想再碰了！
Without thinking, you down the entire bottle. Hey, this stuff is ok! Your breathing becomes heavy, and you're suddenly extremely horny! You've just got to do something, and right NOW!\n\nHey, where's that cute, black dog?	二話不說，你把整瓶灌下去。嘿，這東西還不錯！呼吸變得沉重，你忽然慾火焚身！你得馬上做點什麼！\n\n嘿，那隻可愛的黑狗呢？
Wouldn't you rather just remain friends?	妳不想保持朋友關係嗎？
Don't whine!	別嗯嗯唧唧的！
Funny, no response.	奇怪，沒反應。
It doesn't look interesting.	看起來沒什麼意思。
You see nothing special.	沒有什麼特別的。
It's just as it appears.	就是看起來那樣。
How can you do that?	你怎麼做得了？
You don't need it.	你用不著。
There's no reason to take it.	沒理由拿它。
Just walk there.	就直接走過去吧。
Oh, %w1, %w1, %w1! Doesn't anybody _____ anymore?	哎呀，%w1、%w1、%w1！沒人要_____ 了嗎？
What would you do with the %w2	你拿 %w2 來幹嘛
How can you use that which you do not have?	你沒有的東西怎麼用？
You're not close enough.	你靠得不夠近。
You already have it.	你已經有了。
That comes later.	那以後再說。
Restart  <F9>	重新開始  <F9>
See Object      	查看物體
Bodily Function 	生理機能
Sound On/Off      <F2>	音效開/關      <F2>
Graphics Mode <Ctrl-R>	圖形模式 <Ctrl-R>
Clock On/Off          	時鐘開/關
Pause Game            	暫停遊戲
Yep, it's a door!	沒錯，這就是一扇門！
Watch it, Larry. You're going to get your face slapped!	小心點，Larry。妳再來會被甩巴掌！
Ok.\n\nYour thirst is gone, the bottle is empty, and your breath is revolting.	好。\n\n你不渴了，瓶子空了，你的口氣臭死人。
"Hey, dork! You've got toilet paper stuck to your shoe!"	「嘿，呆瓜！你鞋上貼著衛生紙！」
"Phew! You smell like a used fire hydrant!"	「呸！你聞起來像用過的消防栓！」
   This is about the extent of\n    your mathematical abilities.	   這大概就是你的\n    數學能力的極限了。
How's this thing work, anyway?	這東西到底怎麼用？
Enter function: 	輸入功能：
You quickly turn around, %s11, and feel much better. A hint of a smile crosses your lips.	你快速轉身，%s11，感覺好多了。嘴角浮起一絲笑容。
Larry, the whole idea was to stop doing that!	Larry，整個想法就是要你停止那樣做！
do nothing	什麼都不做
You talk to yourself, and find you already know what you're going to say.	你跟自己說話，發現你早就知道自己要說什麼。
Good idea. You carefully remove and dispose of it properly.	好主意。你小心地把它移除並妥善處理。
You nonchalantly scrape it off.	你若無其事地把它刮掉。
Oh, no! You are now penniless. You hock your leisure suit, and spend the rest of your life on skid row eating discarded fast food.	糟糕！你現在身無分文了。你把豔裝套裝當了，在貧民窟裡靠吃剩飯度過餘生。
The rest of your story is too sad to tell. Time for a little "R & R," Larry -- Restart or Restore!	你的故事太悲慘了，說不出來。現在該放鬆放鬆了，Larry——重新開始或讀檔！
It smells as bad as you imagined.	聞起來跟你想的一樣臭。
It's not for using; IT'S A JOKE!!	不是用的；這是笑話！！
Same to you, buddy!	彼此彼此，老兄！
And %w1 %w2 you, too!	還有 %w1 %w2 你，也是！
Yeah, you probably would, too!	是啊，你可能也會這樣做！
Ok, but I don't usually do that!	好啦，但我不常幹這種事！
You press the button on the remote control and...	你按下遙控器的按鈕，然後...
...nothing happens.	...什麼都沒發生。
Wearing the magic ring gives you powers far beyond those of...	戴上魔法戒指讓你擁有超越...的力量
...Oops. Wrong game.	...哎呀，玩錯遊戲了。
Pretty dramatic, eh?	還滿戲劇化的吧？
It smells good.	聞起來不賴。
You can't. There's no key in this game!	不行啦。這遊戲沒有鑰匙！
"Eeeyow! Do something about that breath of yours!"	"哇靠！你那嘴氣也該治治啦！"
"Remember to buy more Sierra three-dimensional, graphic, adventure games!"	"別忘了多買 Sierra 的 3D 冒險遊戲！"
You might want to read them.	你可能得讀一下。
Staring at the walls?	在瞪牆壁？
Climbing the walls already?	已經要爬牆了？
It just lies there, under your feet.	它就躺在你腳下。
It tastes delicious. But nothing happens.	嚐起來很不錯。但什麼都沒發生。
Exactly how would you help?	你到底要怎麼幫？
You'd better not. You might get your face slapped!	別啦。小心被打巴掌！
Your mouth tastes like the inside of a motorman's glove!	你嘴巴嚐起來像公車司機手套的內層！
Your breath smells like floor sweepings from a rendering plant.	你的氣味像肉品廠掃地垢。
Your breath is enough to take your breath away.	你的口氣足以讓你自己都倒胃。
Your mouth tastes like the drippings from a marathon runner's sock.	你嘴巴味道像馬拉松選手襪子的汗垢。
It's still up there!	它還在上面！
It tastes delicious, but what about your acne?	嚐起來很棒，但你的青春痘咧？
There's no answer. Try opening it.	沒人應。試試打開它。
You find nothing.	你什麼都沒找到。
Well, well. It looks like this month's issue is filled with intelligent, literary articles with redeeming social value.	嗯呃，這期雜誌看起來全是聰慧文藝、具社會價值的文章。
Since your breath sprayer is empty, you toss it away.	既然口氣噴霧空了，你就扔了它。
You used it all, remember.	你全用完了，還記得吧。
