"Leisure Suit Larry in the Land of the Lounge Lizards" contains some elements of plot which may not be considered appropriate for some children.	《幻想空間》包含某些劇情元素，可能不適合部分兒童觀看。
Use the TAB key to select, then ENTER to continue.	按 TAB 鍵選擇，然後按 ENTER 繼續。
Sorry, but this game can only be played by adults, or with an adult. Please find an adult, come back, and try again.	抱歉，這款遊戲只能成人玩，或者跟成人一起玩。請找一個成人，回來，再試一次。
Oh no, you're not!	哎呀，你才不是勒！
Shouldn't you be doing your homework?	你不應該在做功課嗎？
Yeah, sure you are!	是呀，你當然是勒！
Gee, that's funny; you look much older!	天哪，真有趣；你看起來老多了！
To verify your age, please answer these five simple questions.	要驗證你的年齡，請回答這五個簡單問題。
Oops. You blew that one!  But since you came so close, you get to play in spite of yourself!	哎呀。你搞砸了！但既然你差點答對，你儘管玩吧！
Oops. You blew that one!  If you miss another, you can't possibly be old enough to play this game!	哎呀。你搞砸了！再答錯一題，你就不夠年紀玩這款遊戲了！
And now a question that won't tax your memory. This question refers to the documentation that came with your copy of this game.	現在是個不會考驗你記性的題目。這題指的是你的遊戲光碟附帶的文件。
Oh, oh! You couldn't possibly miss that question and have a legal copy of the game!	哎，哎！你不可能答錯這題卻擁有正版遊戲！
Thank you.  And now, slip into your leisure suit and prepare to enter the "Land of the Lounge Lizards" with "Leisure Suit Larry!"	謝謝。現在，穿上你的休閒服，準備跟「休閒服賴瑞」進入「遊手好閒蜥蜴人之地」！
3Johnny Carson is	3強尼·卡森是\n\n(Johnny Carson is)
David Letterman's sidekick.	大衛·萊特曼的搭檔。
Ed McMahon's sidekick.	艾德·麥克馬洪的搭檔。
Very Confusing Record.	非常混亂的紀錄。
Visual Cartridge Recording.	視覺卡帶紀錄。
Very Complete Record.	非常完整的紀錄。
home of the Mets.	大都會隊的家鄉。
a country.	一個國家。
where people talk funny.	人們說話奇怪的地方。
adjacent to Texas.	鄰接德州。
3Is this software pirated?	3這軟體是盜版嗎？\n\n(Is this software pirated?)
No. (How could you even ask!)	不是。(你怎麼可能問！)
No, just borrowed.	不是，只是借的。
0Pia Zadora is	0碧亞·札多拉是\n\n(Pia Zadora is)
all of the above.	以上全部。
a big place.	一個大地方。
near Fresno.	靠近弗雷斯諾。
the Rolling Stones.	滾石樂隊。
the Monkees.	猴子樂隊。
Creedence Clearwater.	信譽清水樂隊。
4All politicians are	4所有政客都是\n\n(All politicians are)
ethical.	有道德的。
on the public payroll.	領公帑的。
a French food.	法國食物。
