"Ok, be that way!" he says, and disappears into the night.	"Ok, be that way!" he says, and disappears into the night.
"Oh no, you don't!" exclaims the man.	"Oh no, you don't!" exclaims the man.
"Say, you really did lose everything," you tell the man.	"Say, you really did lose everything," you tell the man.
They are nicely manicured, but of no help to you.	They are nicely manicured, but of no help to you.
They're automatic. Get closer.	They're automatic. Get closer.
Pretty flashy, eh?	Pretty flashy, eh?
"Apples. Apples! APPLES for sale!!"	"Apples. Apples! APPLES for sale!!"
"Thanks a lot. See you later, pal."	"Thanks a lot. See you later, pal."
Isn't it wonderful what can be done with a few light bulbs?	Isn't it wonderful what can be done with a few light bulbs?
You are outside a romantic, quickie marriage parlor.	You are outside a romantic, quickie marriage parlor.
It's a door. Try opening it.	It's a door. Try opening it.
It's a guy wearing a trench coat.	It's a guy wearing a trench coat.
It's obvious he doesn't have much to hide!	It's obvious he doesn't have much to hide!
You greet the stranger in the trench coat.	You greet the stranger in the trench coat.
"Hey, sonny! Come over here!!" he replies.	"Hey, sonny! Come over here!!" he replies.
"Say," you ask him. "By any chance, is your name Shorty?"	"Say," you ask him. "By any chance, is your name Shorty?"
You have better things to do than mess around with this pervert.	You have better things to do than mess around with this pervert.
It's there to keep you from going that way!	It's there to keep you from going that way!
Strange, you think.	Strange, you think.
He doesn't reply.	He doesn't reply.
You are in a quickie marriage parlor. A flashing neon sign on the rear wall asks: "Why wait? Marry the girl of your dreams, today! You provide the girl, we'll do the rest for only $100!!"	You are in a quickie marriage parlor. A flashing neon sign on the rear wall asks: "Why wait? Marry the girl of your dreams, today! You provide the girl, we'll do the rest for only $100!!"
Fawn is waiting for you at the altar. Go for it, Larry!	Fawn is waiting for you at the altar. Go for it, Larry!
The minister intones in his basso voice...	The minister intones in his basso voice...
"Dearly beloved, we are gathered together today in the sight of, er, ah, um... each other, to enter these two people into the eternal bonds of marriage."	"Dearly beloved, we are gathered together today in the sight of, er, ah, um... each other, to enter these two people into the eternal bonds of marriage."
"But before we really get rollin', I'd like to say a few words.\n\nMany's the marriage that I've performed here, in this little chapel, wearing this cheap suit, before those shiny plastic-covered pews, with these electric candles, looking at those genuine plexiglas stained-glass windows, for these measly few bucks..."	"But before we really get rollin', I'd like to say a few words.\n\nMany's the marriage that I've performed here, in this little chapel, wearing this cheap suit, before those shiny plastic-covered pews, with these electric candles, looking at those genuine plexiglas stained-glass windows, for these measly few bucks..."
(He pauses for another nip from his pocket flask.)	(He pauses for another nip from his pocket flask.)
"Where was I?" he hiccups.	"Where was I?" he hiccups.
"Digressing," you answer.	"Digressing," you answer.
"Oh, well, have you got a ring?" he asks.	"Oh, well, have you got a ring?" he asks.
"Yep," you reply. "She's wearing it."	"Yep," you reply. "She's wearing it."
"Good enough for me! Have you got a hundred bucks?"	"Good enough for me! Have you got a hundred bucks?"
"Of course," you reply, forking over your dough.	"Of course," you reply, forking over your dough.
"Not me," you reply. "I thought this was a temple of love!"	"Not me," you reply. "I thought this was a temple of love!"
"Sorry, buddy, you two are SOL until you can come back here with 100 cold, hard ones!" he says indignantly, as he pushes between you and heads for the door.	"Sorry, buddy, you two are SOL until you can come back here with 100 cold, hard ones!" he says indignantly, as he pushes between you and heads for the door.
Well, Larry, it looks like you're going to have to leave your new bride waiting at the altar, while you generate a little positive cash flow!	Well, Larry, it looks like you're going to have to leave your new bride waiting at the altar, while you generate a little positive cash flow!
As you leave, she says, "Hurry back, Larry, I don't know how long I can wait before I have you!"	As you leave, she says, "Hurry back, Larry, I don't know how long I can wait before I have you!"
"By the way, Larry," she asks. "What does SOL stand for?"	"By the way, Larry," she asks. "What does SOL stand for?"
"Why, Sierra On-Line, I presume!" you respond.	"Why, Sierra On-Line, I presume!" you respond.
