It tastes rather metallic.	嚐起來有股金屬味。
You are in the casino. There are slot machines on the right, and video blackjack machines on the left. This place is a gambler's paradise!	你來到了賭場。右邊全是老虎機，左邊是電子21點機台。這地方根本是賭徒天堂！
You insert your $%d into the machine and brace yourself for an invigorating round of electronic blackjack.	你把 $%d 投進去，準備來場痛快的電子21點。
Sorry, Larry. You've already made the big bucks.	抱歉，Larry。你早就發達了。
You slip all of your money into the slot machine and settle in for a few relaxing minutes with your one-armed bandit.	你把所有身家都塞進吃角子老虎，準備好好跟這個獨臂怪物廝混一陣子。
A sign off in the corner reads, "Welcome to The Lizard Lounge."	角落的牌子寫著，「歡迎光臨蜥蜴酒吧。」
It looks like a great place to be from.	看起來這是個值得來過的地方。
"Bravo. Bravo!" you cry.	「太棒了！太棒了！」你大喊。
"Thank you, thank you!" the comedian responds to your applause.	「謝謝！謝謝各位！」喜劇演員應著你的掌聲。
The girls' smiles beam at your applause!	那些姑娘因為你的掌聲綻放出燦爛笑容！
"Let me pick someone at random from our audience..."	「來，讓我從觀眾裡隨便抽一個...」
(Of course he's looking at you! You're the only one here!)	（當然他盯著的是你！這兒就只有你一個人嘛！）
You're game, so you answer, "Sure."	你樂得答應，「沒問題。」
"Great! Now Paul, my drummer and musical conductor for lo these many years, will read your mind," says the comic. "Come on, Paul, show him your stuff!"	「太好了！我的鼓手兼樂隊指揮 Paul，這些年來一直跟著我，現在他要讀你的心思，」喜劇演員說。「來吧 Paul，亮出你的絕活！」
"I've GOT IT!" he exclaims. "If you open your billfold you'll discover some wrinkled business cards, lots of notes, some credit cards (which won't work in this game), and exactly $%d.00 in cash!!"	「我看到了！」他大聲叫，「打開你的皮夾，裡面有皺巴巴的名片、一堆紙條、幾張信用卡（在這遊戲玩不了），還有整整 $%d.00 現金！！」
At least the comic's whoopee cushion doesn't smell!	至少那傢伙的放屁墊不臭！
Upon closer examination, you discover these dancers may not be the "girls" you thought they were!	仔細瞄一眼，你發現這些舞者可能不是你心想的那種「妹妹」！
Right, sure! As if it would reach from way down here!	沒錯，不唬爛！好像從下面能摸到似的！
The stage is only there as a "supporting" cast member!	這舞台在這邊只是個「胸部」演員啦！
Stay off the stage, Larry. You're no star!	別上去亂，Larry。你又不是明星！
You wonder who invented that little plastic net surrounding the candle's glass.	你想著誰他媽的發明了那個包圍蠟燭玻璃的塑膠網。
