dirty magazines.	色情雜誌。
goods from South Africa.	南非商品。
4James Brown is often referred to as	4詹姆斯布朗常被稱為\n\n(James Brown is often referred to as)
a great athlete.	棒運動員。
the Godfather of Soul.	靈魂教父。
3Who lost a daughter but gained a "meathead?"	3誰失去了女兒但得到個「肉頭」？\n\n(Who lost a daughter but gained a "meathead?")
George Jefferson	喬治傑佛遜
Archie Bunker	阿其邦克
Ted Knight	泰德奈特
4Which U. S. Secretary of State was born in Germany?	4哪位美國國務卿出生在德國？\n\n(Which U. S. Secretary of State was born in Germany?)
Dean Rusk	狄恩腦斯克
William Rogers	威廉羅傑斯
George Schultz	喬治舒茲
Henry Kissinger	亨利基辛吉
2Who was the inventive genius behind the Apple computer?	2誰是蘋果電腦背後的天才怪傑？\n\n(Who was the inventive genius behind the Apple computer?)
Bill Gates	比爾蓋茲
Steve Wozniak	史帝夫沃茲尼克
Ken Williams	肯威廉斯
Steve Russell	史帝夫羅素
3"Close Encounters of the Third Kind" is about	3「第三類接觸」講的是
politics in third-world countries.	第三世界國家的政治。
homo- and heterosexual sex.	同性戀和異性戀性愛。
creatures from outer space.	外星生物。
a bicycle race across Alaska.	橫越阿拉斯加的自行車賽。
Ittsy Bittsy Men.	超小的男人。
International Business Machines.	國際商業機器。
Italian Branch of the Mafia.	義大利黑手黨分部。
Iranian Broom Makers.	伊朗掃帚製造商。
4Who was NOT in the movie "Easy Rider?"	4誰沒在「迷幻騎士」裡出現？\n\n(Who was NOT in the movie "Easy Rider?")
Peter Fonda	彼得方達
Dennis Hopper	丹尼斯霍普
Karen Black	凱倫布萊克
Karen Carpenter	凱倫卡本特
3Las Vegas is famous for	3拉斯維加斯因什麼聞名？\n\n(Las Vegas is famous for)
being the capital of Arizona.	是亞利桑那州首府。
2The term "Working Girl" refers to	2「上班女郎」指的是\n\n(The term "Working Girl" refers to)
a lady of negotiable virtue.	貨色可議的妹子。
an industrious woman.	勤奮的女人。
an employed female.	上班的女性。
1Making a "Hole in One" is	1「一桿進洞」是\n\n(Making a "Hole in One" is)
every golfer's dream.	每個高爾夫球手的夢想。
too dirty to discuss here.	太下流不好在這兒說。
something carpenters do.	木匠會做的事。
best done with scissors.	用剪刀最好做。
4My boss is	4我老闆是\n\n(My boss is)
a total jerk.	十足的混蛋。
an absolute total jerk.	絕對十足的混蛋。
responsible for my paycheck.	掌管我的薪水。
0How many programmers does it take to screw in a light bulb?	0需要幾個程式設計師才能鎖進燈泡？\n\n(How many programmers does it take to screw in a light bulb?)
None, it's a hardware problem.	不用，那是硬體問題。
None, programmers can't fit in light bulbs.	不用，程式設計師塞不進燈泡。
None so far, but they'll get to it Real Soon Now.	暫時沒有，但他們會在「馬上」搞定。
better than a floppy.	比軟碟好。
embarrassing to have at the office.	在辦公室有了會很尷尬。
a state-of-the-art frisbee.	最先進的飛盤。
what happens when you leave your floppy out in the sun too long.	軟碟放在太陽下太久會變成這樣。
2In some personal ads, TV stands for	2在某些個人廣告裡，TV代表\n\n(In some personal ads, TV stands for)
trans-venereal.	跨越性病。
terre-voracic.	泥地飢渴。
4Lucy and Ricky, Fred and	4露西和瑞奇，弗雷德和\n\n(Lucy and Ricky, Fred and)
3Mel Brooks is	3梅爾布魯克斯是\n\n(Mel Brooks is)
Puerto Rican.	波多黎各人。
a comedian.	喜劇演員。
Catholic.	天主教徒。
3It is customary to tip about	3慣例上要給大約\n\n(It is customary to tip about)
2 per cent.	百分之二。
6 per cent.	百分之六。
15 per cent.	百分之十五。
25 per cent.	百分之二十五。
1Blackjack is	1黑傑克是\n\n(Blackjack is)
an ace and a face card.	一張 A 和一張人頭牌。
used by policemen.	警察用的東西。
related to Caucasian Tom.	跟高加索湯姆有關。
a kind of car sold only in Fresno.	只在弗雷斯諾賣的一種車。
