Tsk, tsk.	啧啧。
Ok, but I don't usually do that!	好啦，但我不常幹這種事！
You press the button on the remote control and...	你按下遙控器的按鈕，然後...
...nothing happens.	...什麼都沒發生。
Wearing the magic ring gives you powers far beyond those of...	戴上魔法戒指讓你擁有超越...的力量
...Oops. Wrong game.	...哎呀，玩錯遊戲了。
Pretty dramatic, eh?	還滿戲劇化的吧？
It smells good.	聞起來不賴。
You can't. There's no key in this game!	不行啦。這遊戲沒有鑰匙！
"Eeeyow! Do something about that breath of yours!"	"哇靠！你那嘴氣也該治治啦！"
"Remember to buy more Sierra three-dimensional, graphic, adventure games!"	"別忘了多買 Sierra 的 3D 冒險遊戲！"
You might want to read them.	你可能得讀一下。
Staring at the walls?	在瞪牆壁？
Climbing the walls already?	已經要爬牆了？
It just lies there, under your feet.	它就躺在你腳下。
Sierra On-Line, Inc.  (209) 683-6858	Sierra On-Line, Inc.  (209) 683-6858
It tastes delicious. But nothing happens.	嚐起來很不錯。但什麼都沒發生。
Exactly how would you help?	你到底要怎麼幫？
You'd better not. You might get your face slapped!	別啦。小心被打巴掌！
You don't have one.	你沒有。
Your mouth tastes like the inside of a motorman's glove!	你嘴巴嚐起來像公車司機手套的內層！
Your breath smells like floor sweepings from a rendering plant.	你的氣味像肉品廠掃地垢。
Your breath is enough to take your breath away.	你的口氣足以讓你自己都倒胃。
Your mouth tastes like the drippings from a marathon runner's sock.	你嘴巴味道像馬拉松選手襪子的汗垢。
It's still up there!	它還在上面！
It tastes delicious, but what about your acne?	嚐起來很棒，但你的青春痘咧？
Whee!	耶！
There's no answer. Try opening it.	沒人應。試試打開它。
Ha, ha.	哈哈。
You find nothing.	你什麼都沒找到。
"HELP!"	"救人啦！"
"It's about time!!"	"總算啦！!"
Well, well. It looks like this month's issue is filled with intelligent, literary articles with redeeming social value.	嗯呃，這期雜誌看起來全是聰慧文藝、具社會價值的文章。
Since your breath sprayer is empty, you toss it away.	既然口氣噴霧空了，你就扔了它。
You used it all, remember.	你全用完了，還記得吧。
No place in Lost Wages accepts credit cards from the First National Bank of Libya.	失落城沒地方收利比亞第一國家銀行的卡。
Obviously, restraint is no problem for you, Larry.	明顯地，節制對你不構成問題，Larry。
"Ha, ha!"	"哈哈！"
There's no time!	沒時間了！
That's an idea; it's just not a good idea!	這是個主意；就是不是個好主意！
OK, but now it's gone forever!	好吧，但現在它永遠沒了！
"Hey, thanks a lot!"	"嘿，謝謝啦！"
But, now you'll NEVER get it back!	但，現在你永遠拿不回來了！
%m182rope.	%m182rope.
%m182hammer.	%m182hammer.
You have no 	你沒有
"Yuck!"	"呸！"
No one wants that!	誰都不要那個！
Pretty good company, eh?	滿不錯的同伴吧？
Adventure Game Development System	Adventure Game Development System
(C) 1987 by Sierra On-Line, Inc.	(C) 1987 by Sierra On-Line, Inc.
Johnny Carson is\n\n  a. a singer.\n  b. David Letterman's\n       sidekick.\n  c. Ed McMahon's sidekick.\n  d. an actor.	約翰尼卡遜是\n\n  a. 歌手。\n  b. David Letterman 的\n       搭檔。\n  c. Ed McMahon 的搭檔。\n  d. 演員。
VCR stands for\n\n  a. Very Confusing Record.\n  b. Visual Cartridge\n       Recording.\n  c. Very Complete Record.\n  d. Video Cassette Recorder.	VCR 代表\n\n  a. 很亂的錄音。\n  b. 視覺卡帶\n       錄製。\n  c. 完整錄音。\n  d. 錄影機。
The East Coast is\n\n  a. home of the Mets.\n  b. a country.\n  c. where people talk funny.\n  d. adjacent to Texas.	東海岸是\n\n  a. 大都會隊的老巢。\n  b. 一個國家。\n  c. 人說話超怪的地方。\n  d. 靠近德州。
Is this software pirated?\n\n  a. Yes.\n  b. I'm not talking.\n  c. No. (How could you\n       even ask!)\n  d. No, just borrowed.	這軟體是盜版嗎？\n\n  a. 是。\n  b. 我沒啥好說。\n  c. 不是。(你怎麼好意思\n       問！)\n  d. 沒有，只是借用。
Pia Zadora is\n\n  a. sexy.\n  b. a singer.\n  c. short.\n  d. all of the above.	Pia Zadora 是\n\n  a. 性感。\n  b. 歌手。\n  c. 嬌小。\n  d. 以上全對。
The world is\n\n  a. flat.\n  b. spherical.\n  c. a big place.\n  d. near Fresno.	這世界是\n\n  a. 平的。\n  b. 球形的。\n  c. 很大地方。\n  d. 靠近 Fresno。
"Let It Be" was recorded by\n\n  a. the Rolling Stones.\n  b. the Monkees.\n  c. Creedence Clearwater.\n  d. the Beatles.	"Let It Be" 是由誰錄製\n\n  a. The Rolling Stones。\n  b. The Monkees。\n  c. Creedence Clearwater。\n  d. The Beatles。
